id,model,hf_dataset,hf_main_revision,hf_parquet_revision,hf_original_id,source_parquet,source_row_number,raw_sha256,original_sample_rate,original_channels,original_duration_s,standardized_sha256,standardized_relpath,crop_start_s,historical_role,historical_group_id
aime_audioldm2_large_01501,AudioLDM 2 Large,disco-eth/AIME,b84d4be5eda830b6eb714998569dba73530f2601,1bdacac93127439e361bdd19d575d8b596bca4e3,01501,0064.parquet,30,f0545b39d1234518b6134ef85f7b8965803e502b35b00792f32e8dbcf11c4eda,16000,1,10.0,a65aac4eb9049e1e259c97b4ef44f3fde016ec0d662750fef304df27d9f67c78,clips_10s/aime_audioldm2_large/aime_audioldm2_large_01501.flac,0.0,development,aime:1f4dab7ea613ddba
aime_audioldm2_large_01502,AudioLDM 2 Large,disco-eth/AIME,b84d4be5eda830b6eb714998569dba73530f2601,1bdacac93127439e361bdd19d575d8b596bca4e3,01502,0065.parquet,0,d79df0caa7bf050ef4934bad77f42144e9513730801cfb1436d9217dac904cee,16000,1,10.0,a79685f18407d60830ab64644652d9acea7ad49601625632432657bff8f4f9aa,clips_10s/aime_audioldm2_large/aime_audioldm2_large_01502.flac,0.0,development,aime:e59c2b80a4aafc43
aime_audioldm2_large_01503,AudioLDM 2 Large,disco-eth/AIME,b84d4be5eda830b6eb714998569dba73530f2601,1bdacac93127439e361bdd19d575d8b596bca4e3,01503,0065.parquet,1,9cd597f87b9a4ce40e1fc308b5719c30a1dc1e3e62fe43421fcb5804d5440e98,16000,1,10.0,5ff0d238765308596457657c598638956dc2f4ad5475b0244448e7795fd26419,clips_10s/aime_audioldm2_large/aime_audioldm2_large_01503.flac,0.0,development,aime:80c1c3befdc15f9d
aime_audioldm2_large_01504,AudioLDM 2 Large,disco-eth/AIME,b84d4be5eda830b6eb714998569dba73530f2601,1bdacac93127439e361bdd19d575d8b596bca4e3,01504,0065.parquet,2,d5df99e9c8fa3621e6b301042162051c5f580c30860460a023c2d17593c14be9,16000,1,10.0,b36703ab7b07f039c2fcc879000a993b637e5d7b8cdc1b33b72b913f54df1300,clips_10s/aime_audioldm2_large/aime_audioldm2_large_01504.flac,0.0,development,aime:b602a0579c626ecc
aime_audioldm2_large_01505,AudioLDM 2 Large,disco-eth/AIME,b84d4be5eda830b6eb714998569dba73530f2601,1bdacac93127439e361bdd19d575d8b596bca4e3,01505,0065.parquet,3,6eb5f8a50025fe9afe6d4a738b573dd9ef6b5e1336439d2ca040d255e257425d,16000,1,10.0,c824776cd5c4d0fa9e39ebc14c02ece64ff184b6c7032a968ef69baa098bf623,clips_10s/aime_audioldm2_large/aime_audioldm2_large_01505.flac,0.0,development,aime:1b2ea787b9d82b59
aime_audioldm2_large_01506,AudioLDM 2 Large,disco-eth/AIME,b84d4be5eda830b6eb714998569dba73530f2601,1bdacac93127439e361bdd19d575d8b596bca4e3,01506,0065.parquet,4,0619de738309bd27d44b839c7741c9cf820409a13357c8c5d6a2185ec55956a7,16000,1,10.0,94c81bab9fc64504c834cf238ea18a196aecb6c6cd8a7732ce087adb029788f3,clips_10s/aime_audioldm2_large/aime_audioldm2_large_01506.flac,0.0,development,aime:92b2177feac3bb5a
aime_audioldm2_large_01507,AudioLDM 2 Large,disco-eth/AIME,b84d4be5eda830b6eb714998569dba73530f2601,1bdacac93127439e361bdd19d575d8b596bca4e3,01507,0065.parquet,5,7a7fe2a2f87e068402e62caa5d3a4f59853b98c12e899539c1f9a2b3751641fc,16000,1,10.0,5b674cc548e746a3d533a4cea5afb8a07080f310fb04d7dc067b53499932418c,clips_10s/aime_audioldm2_large/aime_audioldm2_large_01507.flac,0.0,development,aime:506e956aafeea70f
aime_audioldm2_large_01508,AudioLDM 2 Large,disco-eth/AIME,b84d4be5eda830b6eb714998569dba73530f2601,1bdacac93127439e361bdd19d575d8b596bca4e3,01508,0065.parquet,6,ca202f953a16800b4202587b660fd8ecc76919e9d3d1609c794df86449776bf6,16000,1,10.0,5231331ef830913eba15d37f154b564ca5b5cd97236344e2e869c49d7888c760,clips_10s/aime_audioldm2_large/aime_audioldm2_large_01508.flac,0.0,development,aime:77bc54445edbd71f
aime_audioldm2_large_01509,AudioLDM 2 Large,disco-eth/AIME,b84d4be5eda830b6eb714998569dba73530f2601,1bdacac93127439e361bdd19d575d8b596bca4e3,01509,0065.parquet,7,f2935040bb0000c79fcd7d693b486b482b076d7683b2872ef589eaa59466b07b,16000,1,10.0,2eef96d7048c344eac68c92ccb58200d8bcea69c933af57842b52618ae3299e4,clips_10s/aime_audioldm2_large/aime_audioldm2_large_01509.flac,0.0,development,aime:da0f68a9bfefb464
aime_audioldm2_large_01510,AudioLDM 2 Large,disco-eth/AIME,b84d4be5eda830b6eb714998569dba73530f2601,1bdacac93127439e361bdd19d575d8b596bca4e3,01510,0065.parquet,8,c28be4700f41f04c56dbe50f4a1874a8817ed4e2c6b7e090016f85725e8e6d03,16000,1,10.0,19fb80b083186d7cded4fc140073c7358eb8754ed8f03c6c3101c347e0fb3fe3,clips_10s/aime_audioldm2_large/aime_audioldm2_large_01510.flac,0.0,development,aime:2dd70c3ed8c6dcaf
aime_audioldm2_large_01511,AudioLDM 2 Large,disco-eth/AIME,b84d4be5eda830b6eb714998569dba73530f2601,1bdacac93127439e361bdd19d575d8b596bca4e3,01511,0065.parquet,9,e378ef24eb11b2085b84de69b5660698840e0b3a3ceb610c90cdc0d04df82353,16000,1,10.0,570eddd6288a793a4a6a78507fd4e76d8dcfaaf134a14128f4c7f92f7313c63a,clips_10s/aime_audioldm2_large/aime_audioldm2_large_01511.flac,0.0,development,aime:56e714fff1858889
aime_audioldm2_large_01512,AudioLDM 2 Large,disco-eth/AIME,b84d4be5eda830b6eb714998569dba73530f2601,1bdacac93127439e361bdd19d575d8b596bca4e3,01512,0065.parquet,10,c1fd70a17c6049dd4236d6e6eb724afb230f135cce2b941a14b45543e8ee6af5,16000,1,10.0,8c97fc6d5f554548cba37aea69c34259834a4ac2b8ce25de9c4dc51b85984ec4,clips_10s/aime_audioldm2_large/aime_audioldm2_large_01512.flac,0.0,development,aime:bd4ff6c67c3988ce
