id,label,source_group
ai_acestep_muse_cn_suno_cn_000107_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_000134_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_000244_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_000268_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_000394_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_000484_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_000585_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_000676_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_000679_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_000877_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_000887_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_000896_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_000942_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_000955_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_001079_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_001149_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_001191_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_001199_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_001270_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_001353_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_001668_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_001690_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_001808_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_002111_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_002120_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_002130_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_002202_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_002228_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_002440_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_002516_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_002551_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_002585_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_002619_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_002660_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_002718_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_002840_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_002958_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_003042_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_003067_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_003122_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_003137_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_003251_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_003275_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_003278_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_003299_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_003559_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_003766_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_003884_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_003983_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_004044_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_004068_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_004138_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_004405_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_004485_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_004770_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_004806_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_004936_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_005005_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_005164_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_005322_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_005324_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_005351_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_005457_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_005459_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_005537_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_005597_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_005832_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_005841_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_005844_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_005879_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_005897_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_006023_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_006047_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_006115_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_006140_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_006142_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_006204_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_006375_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_006670_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_006851_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_006985_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_007242_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_007250_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_007265_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_007401_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_007503_0,1,ACE-Step
ai_acestep_muse_cn_suno_cn_007831_1,1,ACE-Step
ai_acestep_muse_cn_suno_cn_007990_0,1,ACE-Step
