id,cohort,role,group_id,component_id,source_index
ai_acestep_muse_cn_suno_cn_000107_1,historical_10s,development,muse:suno_cn_000107,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_000134_1,historical_10s,development,muse:suno_cn_000134,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_000244_1,historical_10s,locked,muse:suno_cn_000244,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_000268_1,historical_10s,development,muse:suno_cn_000268,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_000394_1,historical_10s,development,muse:suno_cn_000394,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_000484_0,historical_10s,development,muse:suno_cn_000484,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_000585_1,historical_10s,development,muse:suno_cn_000585,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_000676_0,historical_10s,development,muse:suno_cn_000676,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_000679_1,historical_10s,development,muse:suno_cn_000679,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_000877_0,historical_10s,locked,muse:suno_cn_000877,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_000887_1,historical_10s,development,muse:suno_cn_000887,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_000896_0,historical_10s,development,muse:suno_cn_000896,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_000942_1,historical_10s,locked,muse:suno_cn_000942,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_000955_0,historical_10s,development,muse:suno_cn_000955,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_001079_1,historical_10s,locked,muse:suno_cn_001079,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_001149_0,historical_10s,development,muse:suno_cn_001149,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_001191_0,historical_10s,development,muse:suno_cn_001191,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_001199_1,historical_10s,locked,muse:suno_cn_001199,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_001270_0,historical_10s,development,muse:suno_cn_001270,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_001353_1,historical_10s,development,muse:suno_cn_001353,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_001668_0,historical_10s,development,muse:suno_cn_001668,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_001690_1,historical_10s,development,muse:suno_cn_001690,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_001808_0,historical_10s,development,muse:suno_cn_001808,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_002111_0,historical_10s,locked,muse:suno_cn_002111,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_002120_0,historical_10s,development,muse:suno_cn_002120,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_002130_1,historical_10s,development,muse:suno_cn_002130,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_002202_0,historical_10s,development,muse:suno_cn_002202,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_002228_0,historical_10s,development,muse:suno_cn_002228,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_002440_1,historical_10s,development,muse:suno_cn_002440,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_002516_1,historical_10s,development,muse:suno_cn_002516,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_002551_0,historical_10s,development,muse:suno_cn_002551,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_002585_1,historical_10s,development,muse:suno_cn_002585,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_002619_1,historical_10s,development,muse:suno_cn_002619,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_002660_0,historical_10s,development,muse:suno_cn_002660,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_002718_0,historical_10s,development,muse:suno_cn_002718,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_002840_0,historical_10s,development,muse:suno_cn_002840,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_002958_0,historical_10s,development,muse:suno_cn_002958,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_003042_0,historical_10s,development,muse:suno_cn_003042,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_003067_1,historical_10s,development,muse:suno_cn_003067,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_003122_0,historical_10s,locked,muse:suno_cn_003122,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_003137_1,historical_10s,development,muse:suno_cn_003137,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_003251_0,historical_10s,development,muse:suno_cn_003251,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_003275_1,historical_10s,development,muse:suno_cn_003275,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_003278_1,historical_10s,development,muse:suno_cn_003278,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_003299_0,historical_10s,development,muse:suno_cn_003299,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_003559_0,historical_10s,development,muse:suno_cn_003559,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_003766_1,historical_10s,development,muse:suno_cn_003766,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_003884_0,historical_10s,development,muse:suno_cn_003884,,historical_input_inventory_v1/metadata_10s.csv
ai_acestep_muse_cn_suno_cn_003983_0,historical_10s,development,muse:suno_cn_003983,,historical_input_inventory_v1/metadata_10s.csv
