id,label,source_group,source_revision,source_locator,container_member,source_sha256,source_bytes,native_sample_rate_hz,native_duration_s,historical_role,acquisition_role,group_id,artist_or_creator_recorded,title_recorded,license_recorded,evaluation_allowed_recorded,provenance_grade,source_notes
human_mtt_042563,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,e/c_layne-the_sun_will_come_out_to_blind_you-10-everybodys_going_underground-0-29.mp3,ab69fe15aa553f4342e12cc92f2c0ae34df9357f2deff4884c000e4f16248fa4,117250,16000,29.156,development,development,human_magnatagatune:creator:C Layne,C Layne,Everybody's Going Underground,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_008686,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,3/mandrake_root-the_seventh_mirror-02-one_in_a_million-30-59.mp3,6f832d721da628cbaa86a80348bdcb3cc3ef6ed6e342d4f59a46108f8a9a27f8,117229,16000,29.156,development,development,human_magnatagatune:creator:Mandrake Root,Mandrake Root,One In A Million,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_048332,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,8/philharmonia_baroque-cd2_scarlatti__cecilian_vespers-12-magnificat__magnificat-0-29.mp3,fec84c7c5e256aeff16bd58e41de2468b715d43907ddfe1c4507fd1932e1c4ed,117253,16000,29.156,development,development,human_magnatagatune:creator:Philharmonia Baroque,Philharmonia Baroque,Magnificat - Magnificat,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_005678,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,d/sarasa_ensemble_labelle_sylvan-bach_cantatas-01-weichet_nur_betrubte_schatten_aria-59-88.mp3,48f130adeb5f0e64227898f62167acddf525ecd8a5a4ebfedbaf8835613ab9cc,117197,16000,29.156,development,development,human_magnatagatune:creator:Sarasa Ensemble Labelle Sylvan,Sarasa Ensemble Labelle Sylvan,Weichet nur betrubte Schatten Aria,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_005991,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,f/memories_of_tomorrow-waiting_for_dawn-02-after_thought-204-233.mp3,3cd02e59910aa5d4bef67045f445184b49d48007a17c5c7f32e2e4cd2e9935d5,117230,16000,29.156,development,development,human_magnatagatune:creator:Memories of Tomorrow,Memories of Tomorrow,After Thought,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_006817,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,4/mutandina-mutandina-02-deja_correr-204-233.mp3,ef8dd4ec9bbded1c6b87020aa118829a67263e1595f46b075cb2f7ccc06bcc6d,117210,16000,29.156,development,development,human_magnatagatune:creator:Mutandina,Mutandina,Deja Correr,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_005051,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,2/jami_sieber-lush_mechanique-01-surrender-262-291.mp3,4ac21510fb0318cf17ce4ef8fff3e488012729f28c0ef10f1d17d0ee32c86fa0,117216,16000,29.156,development,development,human_magnatagatune:creator:Jami Sieber,Jami Sieber,Surrender,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_052022,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,5/kammen___swan-wild_wood-14-stone_and_flax-146-175.mp3,a4afd55ac071ab3bd482e79c23353ee0c7a110582d48004e34926e8576b82f48,117220,16000,29.156,development,development,human_magnatagatune:creator:Kammen & Swan,Kammen & Swan,Stone and Flax,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_054505,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,9/the_strap_ons-geeking_crime-17-k_christ-88-117.mp3,c84af5b11d8eb4f72495181b157c141dd49f28633712edad818feb023582584f,117223,16000,29.156,development,development,human_magnatagatune:creator:The Strap Ons,The Strap Ons,K-( christ,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_040237,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,5/john_fleagle-worlds_bliss__medieval_songs_of_love_and_death-09-o_speculum_spericum-0-29.mp3,90deb7c64e7cdcbec3d6f292361444a06d0189cb951d944c5d3c4e9cf034c443,117258,16000,29.156,development,development,human_magnatagatune:creator:John Fleagle,John Fleagle,O Speculum Spericum,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_027986,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,1/william_brooks-karma_dogs-06-miracle-146-175.mp3,8446a759965fef0213ffa5383bc29d11b411fbb1efad78efcf247a1bbb53d0d3,117214,16000,29.156,development,development,human_magnatagatune:creator:William Brooks,William Brooks,Miracle,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
