id,label,source_group,role,original_role,group_id,condition_id,native_sample_rate_hz,native_duration_s,raw_sha256,provenance_status,acquisition,duration_sec,duration_view,crop_start_s,audio_offset_s,requires_crop,eligible_common8,eligible_fullband,generator_family,evaluation_allowed
ai_acestep_muse_cn_suno_cn_000107_1,1,ACE-Step,development,development,muse:suno_cn_000107,muse:suno_cn_000107,48000,30.0,dfb750eed17b160a8fe7b62a277a60767966a6b1765fbb733e4068dd385466ab,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_000134_1,1,ACE-Step,development,development,muse:suno_cn_000134,muse:suno_cn_000134,48000,30.0,35ee175364ccdadd36771e8874e500c0be5d9bd898c426a16212c45fe0c221e7,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_000244_1,1,ACE-Step,locked,locked_test,muse:suno_cn_000244,muse:suno_cn_000244,48000,30.0,b7be5c7076f6252e3cd08b61e597b9990064e3a94f437af95f830c2c86b03d36,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_000268_1,1,ACE-Step,development,development,muse:suno_cn_000268,muse:suno_cn_000268,48000,30.0,907d3ae7d2970a8f1eba5d828289a00cefbf265f36652e0333af0d0a411092ea,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_000394_1,1,ACE-Step,development,development,muse:suno_cn_000394,muse:suno_cn_000394,48000,30.0,7c3e18294607a63f688cfe588c5c69e080e54b9105202a4b317524193f33914a,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_000484_0,1,ACE-Step,development,development,muse:suno_cn_000484,muse:suno_cn_000484,48000,30.0,cbe34e8ed1ea463199f1d1b6b2f934ca5e248e6d352bc8c1286e4484d9cce346,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_000585_1,1,ACE-Step,development,development,muse:suno_cn_000585,muse:suno_cn_000585,48000,30.0,75f7ccf6ddb70289e7c6ef222d9dc842f5fd064ef88e4dce41bbb6d259077183,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_000676_0,1,ACE-Step,development,development,muse:suno_cn_000676,muse:suno_cn_000676,48000,30.0,51625bbb1ab78dd6be10d97ccdc9e9f3553b4f5c8a6b2b5001ee623ac550afb9,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_000679_1,1,ACE-Step,development,development,muse:suno_cn_000679,muse:suno_cn_000679,48000,30.0,617206053006e41e81cdca5d02c4514ece3de8181c509b157e1f25a0475d7331,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_000877_0,1,ACE-Step,locked,locked_test,muse:suno_cn_000877,muse:suno_cn_000877,48000,30.0,a0708c7267921d467eef405e7225463c3ef8c9b0ee98712ea2cbf107bfa70245,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_000887_1,1,ACE-Step,development,development,muse:suno_cn_000887,muse:suno_cn_000887,48000,30.0,ead42ccc1deb6899c0d198e7e4f1bca16730a8c605cdfe73c874fe4e6b600759,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_000896_0,1,ACE-Step,development,development,muse:suno_cn_000896,muse:suno_cn_000896,48000,30.0,924ebca4ab439ebb3eb35a103c5cd7f2bbf89f3a2bbf3ff1e8e7557dd039e683,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_000942_1,1,ACE-Step,locked,locked_test,muse:suno_cn_000942,muse:suno_cn_000942,48000,30.0,b66cfe2418b85db4d9046098bcc29c5a4638b4f4cc5f581dd06c7d6b04c6f7b2,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_000955_0,1,ACE-Step,development,development,muse:suno_cn_000955,muse:suno_cn_000955,48000,30.0,0818ae7e861b15e8b95bae8f1a7c2fb4fe409d5224fe20cc69d485aa93d9f2c9,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_001079_1,1,ACE-Step,locked,locked_test,muse:suno_cn_001079,muse:suno_cn_001079,48000,30.0,ed178e309e0189384b41851189bf4787a2021516988d36e1c62564f2384bb56a,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_001149_0,1,ACE-Step,development,development,muse:suno_cn_001149,muse:suno_cn_001149,48000,30.0,8091e1f61add0c74a2637763966d9f5cd0b648eb6533028e7ecc828fd23e4b8d,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_001191_0,1,ACE-Step,development,development,muse:suno_cn_001191,muse:suno_cn_001191,48000,30.0,853bfa3af1bba70284aa8fee760a3abcec69caadd6ab059de0849bfeef078209,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_001199_1,1,ACE-Step,locked,locked_test,muse:suno_cn_001199,muse:suno_cn_001199,48000,30.0,df053d9d5eca5810aeb3a05b6cff04a8fd660f91c8b8d20d0cc30644fa4b9a91,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_001270_0,1,ACE-Step,development,development,muse:suno_cn_001270,muse:suno_cn_001270,48000,30.0,9f68c5bc47697da3505b211489e209debe973ed9ee772b92936744ea87009066,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_001353_1,1,ACE-Step,development,development,muse:suno_cn_001353,muse:suno_cn_001353,48000,30.0,b5199dbec3d732019ef496bf25b648384a11169257f0971a3e38e07ec920218e,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_001668_0,1,ACE-Step,development,development,muse:suno_cn_001668,muse:suno_cn_001668,48000,30.0,f38190e0c99038318bfc6b0ce7ce85cbb5ebcce4c4b31bd963e142b2c899c45c,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_001690_1,1,ACE-Step,development,development,muse:suno_cn_001690,muse:suno_cn_001690,48000,30.0,f910f447678a6c8c53649f2e4296308e19996623d325c0f37952b7a3a95a69b0,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_001808_0,1,ACE-Step,development,development,muse:suno_cn_001808,muse:suno_cn_001808,48000,30.0,e06688d0d2af61d0d622e061d43d98312d775b72ba976a76ca032e11a4e6a4a9,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_002111_0,1,ACE-Step,locked,locked_test,muse:suno_cn_002111,muse:suno_cn_002111,48000,30.0,909a785ef7d352aed11e72a2fe16efa5cfbc5079cb67759e398fd380641b2ead,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_002120_0,1,ACE-Step,development,development,muse:suno_cn_002120,muse:suno_cn_002120,48000,30.0,18a7a9f381335d081faed2ac21eb4ab01e94a769403a326b3195e940f19b4d79,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_002130_1,1,ACE-Step,development,development,muse:suno_cn_002130,muse:suno_cn_002130,48000,30.0,4cc70817b312a6c0d5cd62a90582904554142d96a4bd04e9f0643fdf303cfc8a,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_002202_0,1,ACE-Step,development,development,muse:suno_cn_002202,muse:suno_cn_002202,48000,30.0,f44089b80ac70fb63110c6d2e710eb65f35a189282371f1a185535e2b3326d0c,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_002228_0,1,ACE-Step,development,development,muse:suno_cn_002228,muse:suno_cn_002228,48000,30.0,753c0482684fa367f062b797894226f58524d20e2d151723e3c7f820b706afbc,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_002440_1,1,ACE-Step,development,development,muse:suno_cn_002440,muse:suno_cn_002440,48000,30.0,ab6b045abc4f33053a19a032fc2b81f9a2a2f95d6aac9d1639d442869c219f95,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_002516_1,1,ACE-Step,development,development,muse:suno_cn_002516,muse:suno_cn_002516,48000,30.0,fd53fc69339fe5423b7e7035c229d7175ae831ef796efd561809eddfc1da3cf6,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_002551_0,1,ACE-Step,development,development,muse:suno_cn_002551,muse:suno_cn_002551,48000,30.0,961e9c8fe0162594b0d3c76115dae1a71e64c2924d5fd52938be5225423d3425,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_002585_1,1,ACE-Step,development,development,muse:suno_cn_002585,muse:suno_cn_002585,48000,30.0,c72f68bfe267ceb687f900a05e510b69f031afb293199d34c16521b67514c61c,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_002619_1,1,ACE-Step,development,development,muse:suno_cn_002619,muse:suno_cn_002619,48000,30.0,9ed780573245469ec5d46bd12137c2d5e15bdd8d9d1e7b7200d2f32227338517,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_002660_0,1,ACE-Step,development,development,muse:suno_cn_002660,muse:suno_cn_002660,48000,30.0,94eb4d0456d196fcf5238d0a4fa649f307f058d30193d912c202b54d9c8e9f40,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_002718_0,1,ACE-Step,development,development,muse:suno_cn_002718,muse:suno_cn_002718,48000,30.0,e81185e341340f6c745e8cab77f90d5fcd0b9714f52b5564b4328225a1a5776b,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_002840_0,1,ACE-Step,development,development,muse:suno_cn_002840,muse:suno_cn_002840,48000,30.0,ee1518ee2ece8745dbcf6cb2323e58dede1a8239d936f18f1698b46ec899bbab,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_002958_0,1,ACE-Step,development,development,muse:suno_cn_002958,muse:suno_cn_002958,48000,30.0,59cd6ebe31713f7296c233456e717210910fbba64b6306bb922d350f1ed75667,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_003042_0,1,ACE-Step,development,development,muse:suno_cn_003042,muse:suno_cn_003042,48000,30.0,1f87cf6329736d712ae6ea29482375fdcd72a2d3103e02c3cb62cffaf3ac44b9,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_003067_1,1,ACE-Step,development,development,muse:suno_cn_003067,muse:suno_cn_003067,48000,30.0,68b51be4a6fb423ad4ac936c76d1329fe6634373b4052994719c8e47a6bd4d3e,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_003122_0,1,ACE-Step,locked,locked_test,muse:suno_cn_003122,muse:suno_cn_003122,48000,30.0,52b15da0e7a91a761eb81107e026306992033598acb981b10ab173f67f7203c9,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_003137_1,1,ACE-Step,development,development,muse:suno_cn_003137,muse:suno_cn_003137,48000,30.0,d9760116920e6d5cb98b86548f97d06054b8686591de5520712ba1fabe5a5dc0,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_003251_0,1,ACE-Step,development,development,muse:suno_cn_003251,muse:suno_cn_003251,48000,30.0,3da2e0621b3190a7df21159b34f2afc05b04cf513f48bc9b3fe785429432cc3f,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_003275_1,1,ACE-Step,development,development,muse:suno_cn_003275,muse:suno_cn_003275,48000,30.0,7d662d7aa559147383151db0ab4517c3d1159a9f808f0466eaa1839709490629,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_003278_1,1,ACE-Step,development,development,muse:suno_cn_003278,muse:suno_cn_003278,48000,30.0,27ea9fbe96c4302a5fe7379e46c1e6f61d81407fa19b5ef1840fefb6cd3bed12,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_003299_0,1,ACE-Step,development,development,muse:suno_cn_003299,muse:suno_cn_003299,48000,30.0,65de09e948e280f281c1c10fcface4d26e5e7fdb40bf6926d1191af143a633cf,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_003559_0,1,ACE-Step,development,development,muse:suno_cn_003559,muse:suno_cn_003559,48000,30.0,32f058c78bf567fc13a1942fd990aac637023ef0c0ad3279f231d4db0e92ddf4,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_003766_1,1,ACE-Step,development,development,muse:suno_cn_003766,muse:suno_cn_003766,48000,30.0,eea32f1a5075127f0f8a3181be730af34d33b8ad5067bf9528396e3a3e85b3dc,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_003884_0,1,ACE-Step,development,development,muse:suno_cn_003884,muse:suno_cn_003884,48000,30.0,05f064bce4270f7fddca787edd9f4d083f681607e8740dbee88204e8122e8f3e,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_003983_0,1,ACE-Step,development,development,muse:suno_cn_003983,muse:suno_cn_003983,48000,30.0,c5fb9bba55e7a43c6143b03aad4d50378083f392067384a49ec034a4087b17cf,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_004044_0,1,ACE-Step,development,development,muse:suno_cn_004044,muse:suno_cn_004044,48000,30.0,fc1390b8391bd4448163a0c82b636858d981d3dbcbe82e515ff516aa579d768b,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_004068_1,1,ACE-Step,development,development,muse:suno_cn_004068,muse:suno_cn_004068,48000,30.0,c3578ee0ec712fead831693dc07ff490ce0ebe85438c719f065fe2a40853b8de,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_004138_0,1,ACE-Step,development,development,muse:suno_cn_004138,muse:suno_cn_004138,48000,30.0,2e8ccdba6f1bdef2a41d75512fb381385134acf8c5b8544cbb0c6d70b2a4986b,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_004405_1,1,ACE-Step,development,development,muse:suno_cn_004405,muse:suno_cn_004405,48000,30.0,90c14ea06097c730ed02f2fa425c7cc867844ec8838daa4adc1a32e9a1c4b2be,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_004485_1,1,ACE-Step,development,development,muse:suno_cn_004485,muse:suno_cn_004485,48000,30.0,5930df63fb961dc7e8062db9c6bece01feda20e97530aedc368b8098e5ce47f2,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_004770_0,1,ACE-Step,development,development,muse:suno_cn_004770,muse:suno_cn_004770,48000,30.0,0c74a50498d65f5bf39a7411803b2afdae2ae2a1794c431cf60ac944def92c52,legacy,prior,30,30s,0.0,0.0,0,1,1,ACE-Step,
