id,view,source_group,role,feature_status,s16_feature_status,s8_feature_status,d_feature_status,r_feature_status,p_feature_status,published_original_path,published_original_revision
ai_acestep_muse_cn_suno_cn_000107_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_000134_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_000244_1,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_000268_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_000394_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_000484_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_000585_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_000676_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_000679_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_000877_0,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_000887_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_000896_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_000942_1,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_000955_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_001079_1,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_001149_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_001191_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_001199_1,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_001270_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_001353_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_001668_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_001690_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_001808_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_002111_0,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_002120_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_002130_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_002202_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_002228_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_002440_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
