experiment_id,mirror_id,source_id_recorded_as_medleydb_id,seen_in_official_htdemucs4
human_moisesdb_0044badf-486e-4d18-ad18-ba6b43785928,0044badf-486e-4d18-ad18-ba6b43785928,8427760a-b82e-4136-8f12-dfd53cad9bc9,1
human_moisesdb_007c03e0-15b0-4555-88f5-29687ee66e81,007c03e0-15b0-4555-88f5-29687ee66e81,dc61c44e-a771-47a9-8934-a0eb8f3e08ac,1
human_moisesdb_01099056-a20b-4532-a6b8-40851f1a9a29,01099056-a20b-4532-a6b8-40851f1a9a29,73efd911-79c3-4235-a4ae-45b41d6997b9,1
human_moisesdb_019ccf20-4d99-4bea-ac3b-88d132da8776,019ccf20-4d99-4bea-ac3b-88d132da8776,1ee489e8-55ad-4d4a-8277-24051b85c02d,1
human_moisesdb_02f8fc2f-fcea-4152-8377-18c4a92b8bbb,02f8fc2f-fcea-4152-8377-18c4a92b8bbb,e1108928-9776-434c-bc57-c32dfdb7839c,1
human_moisesdb_0487d250-ffa5-495e-8a23-53ba942855e2,0487d250-ffa5-495e-8a23-53ba942855e2,ea29ab4d-7f72-4331-b2a4-d3945c754211,1
human_moisesdb_06d21677-3ee5-4808-8f21-e28b40982a0b,06d21677-3ee5-4808-8f21-e28b40982a0b,02ee37da-eea3-42b4-83bf-ab7f243afa13,1
human_moisesdb_06f33f97-8531-407a-aa1d-6a5f56eb6416,06f33f97-8531-407a-aa1d-6a5f56eb6416,5640831d-7853-4d06-8166-988e2844b652,1
human_moisesdb_07b98af1-4c18-4392-bbca-9ddd22c94948,07b98af1-4c18-4392-bbca-9ddd22c94948,ef1510e0-ba23-4b59-ba53-14181d73f213,1
human_moisesdb_0849b9ae-be4b-4d60-9b0e-ac629867de43,0849b9ae-be4b-4d60-9b0e-ac629867de43,553048ce-7afd-4e0e-b4cb-4896620287a1,1
human_moisesdb_085052e9-daa6-4a28-bd25-425ca4612c7c,085052e9-daa6-4a28-bd25-425ca4612c7c,63b68795-0076-476b-a917-dec9e89bf91e,1
human_moisesdb_0e127183-69e9-4337-831c-dba2866d4e78,0e127183-69e9-4337-831c-dba2866d4e78,ee082817-dbda-4fbf-b5aa-8dce2320ae35,0
human_moisesdb_0e73146f-a04a-438e-9e23-b62d1c1a1f3e,0e73146f-a04a-438e-9e23-b62d1c1a1f3e,825f697d-5fcd-4429-ba33-23163c726ca7,1
human_moisesdb_122594ab-7f7f-4466-ace2-70bb7dfc65ec,122594ab-7f7f-4466-ace2-70bb7dfc65ec,444fcc6d-1ad1-4584-b3e5-bf3f4f613c8f,1
human_moisesdb_1233e312-4e59-4167-9234-a0ce2bd123ce,1233e312-4e59-4167-9234-a0ce2bd123ce,312bec8d-1c61-43e0-924a-1fb87ddc3e41,1
human_moisesdb_12dc1cb2-2b96-405e-b58e-084d2fe37146,12dc1cb2-2b96-405e-b58e-084d2fe37146,36ee7fc6-604c-4a75-b4f0-0a9ceef3b9cb,1
human_moisesdb_140d4cbc-23d6-49bb-9365-51087a51f3f8,140d4cbc-23d6-49bb-9365-51087a51f3f8,fcd1937f-2b21-4a78-889a-7b7e63e0ebdd,1
human_moisesdb_1487dd4b-4bfe-49aa-b792-f343c126c892,1487dd4b-4bfe-49aa-b792-f343c126c892,75be2864-8b5f-45a1-ae09-6ba10f070f33,1
