id,label,source_group,role,group_id,component_id,duration_view_s,native_sample_rate_hz,input_sha256
ai_acestep_muse_cn_suno_cn_000107_1,1,ACE-Step,development,muse:suno_cn_000107,component_000001,30,48000,f1ad9adb85b9b6093784bb2f0e69bffdbe344393e67d94e4b61be72761971d6b
ai_acestep_muse_cn_suno_cn_000134_1,1,ACE-Step,development,muse:suno_cn_000134,component_000002,30,48000,be18479b59e57d6ef1f2139fb06c774b7cd53502e73eb510d663aad88b45ef5a
ai_acestep_muse_cn_suno_cn_000268_1,1,ACE-Step,development,muse:suno_cn_000268,component_000004,30,48000,cc96d5edfff0bf821cda247f981624d27436c9e7008d01c9e49e8438cc3263bb
ai_acestep_muse_cn_suno_cn_000394_1,1,ACE-Step,development,muse:suno_cn_000394,component_000005,30,48000,14592376deca4f5a37d18d37028b13f4e6317d21fc584c33ffa37f3852d23a40
ai_acestep_muse_cn_suno_cn_000484_0,1,ACE-Step,development,muse:suno_cn_000484,component_000006,30,48000,d2ac3bc11179a8de7303cffc0cd7c68ef5c0fdfe24aed7ec6e1f41794866f15b
ai_acestep_muse_cn_suno_cn_000585_1,1,ACE-Step,development,muse:suno_cn_000585,component_000007,30,48000,d8655adc8fa6e7a6481fdbd093eb9f5c76b42e0d5dc0bd3efc64d94fe0ef8304
ai_acestep_muse_cn_suno_cn_000676_0,1,ACE-Step,development,muse:suno_cn_000676,component_000008,30,48000,169b1a9965993f8e59cf539be445c220ad93373e2f09b7be353b4e95698c7df6
ai_acestep_muse_cn_suno_cn_000679_1,1,ACE-Step,development,muse:suno_cn_000679,component_000009,30,48000,898bbe6bc7f3d6bb3ff61b1c1994d8ef3217f00164daf2e0ce39704a5ec0624f
ai_acestep_muse_cn_suno_cn_000887_1,1,ACE-Step,development,muse:suno_cn_000887,component_000011,30,48000,156472a9c9b1b5e71aa695540c19de377c1b20bc5afbbfd612196d9393839bb6
ai_acestep_muse_cn_suno_cn_000896_0,1,ACE-Step,development,muse:suno_cn_000896,component_000012,30,48000,bc260254cb8b4671a9a2d810008816f96d2a57d659919d61287a88ef89680c56
