id,source_group,historical_role,group_id,prompt_id,original_sha256,original_bytes,original_filename,original_sample_rate,original_frames,original_duration_s,standardized_sha256,standardized_bytes,standardized_filename,standardized_sample_rate,standardized_frames,padding_frames,truncated_frames
ai_acestep_muse_cn_suno_cn_000107_1,ACE-Step,development,muse:suno_cn_000107,muse_cn_suno_cn_000107_1,dfb750eed17b160a8fe7b62a277a60767966a6b1765fbb733e4068dd385466ab,2216057,acestep_muse_cn_suno_cn_000107_1.flac,48000,1440000,30.0,c72153251f1ed8bfcbe986b753a9c3e360a1a2885c9dc409446d7f647edb06b6,2045717,ai_acestep_muse_cn_suno_cn_000107_1.flac,44100,1323000,0,0
ai_acestep_muse_cn_suno_cn_000134_1,ACE-Step,development,muse:suno_cn_000134,muse_cn_suno_cn_000134_1,35ee175364ccdadd36771e8874e500c0be5d9bd898c426a16212c45fe0c221e7,2378690,acestep_muse_cn_suno_cn_000134_1.flac,48000,1440000,30.0,d8647ba0119d3c8607be30026f28da0c2d3f4ccee75ef82eab47a19b7b2a2746,2209810,ai_acestep_muse_cn_suno_cn_000134_1.flac,44100,1323000,0,0
ai_acestep_muse_cn_suno_cn_000244_1,ACE-Step,locked,muse:suno_cn_000244,muse_cn_suno_cn_000244_1,b7be5c7076f6252e3cd08b61e597b9990064e3a94f437af95f830c2c86b03d36,2257803,acestep_muse_cn_suno_cn_000244_1.flac,48000,1440000,30.0,71f8438418a1249c16538883c8c7d631c51d5dbd5c2bb1fb183b6c756b050637,2084787,ai_acestep_muse_cn_suno_cn_000244_1.flac,44100,1323000,0,0
ai_acestep_muse_cn_suno_cn_000268_1,ACE-Step,development,muse:suno_cn_000268,muse_cn_suno_cn_000268_1,907d3ae7d2970a8f1eba5d828289a00cefbf265f36652e0333af0d0a411092ea,2801810,acestep_muse_cn_suno_cn_000268_1.flac,48000,1440000,30.0,1937883fedf5b6332da6bc650d7bfadc27f0965ea3201c74f2cbdb9733bf62b5,2630319,ai_acestep_muse_cn_suno_cn_000268_1.flac,44100,1323000,0,0
ai_acestep_muse_cn_suno_cn_000394_1,ACE-Step,development,muse:suno_cn_000394,muse_cn_suno_cn_000394_1,7c3e18294607a63f688cfe588c5c69e080e54b9105202a4b317524193f33914a,2446106,acestep_muse_cn_suno_cn_000394_1.flac,48000,1440000,30.0,f4eaf559ad4f3668ec6b7ab35d27556f131338e1c2e426b2e4a180aae1debab2,2270976,ai_acestep_muse_cn_suno_cn_000394_1.flac,44100,1323000,0,0
ai_acestep_muse_cn_suno_cn_000484_0,ACE-Step,development,muse:suno_cn_000484,muse_cn_suno_cn_000484_0,cbe34e8ed1ea463199f1d1b6b2f934ca5e248e6d352bc8c1286e4484d9cce346,2451780,acestep_muse_cn_suno_cn_000484_0.flac,48000,1440000,30.0,53e49c366a700c4faf36f860f2271ba1ace34cf9117cf3a530e0308b16044b7e,2282343,ai_acestep_muse_cn_suno_cn_000484_0.flac,44100,1323000,0,0
ai_acestep_muse_cn_suno_cn_000585_1,ACE-Step,development,muse:suno_cn_000585,muse_cn_suno_cn_000585_1,75f7ccf6ddb70289e7c6ef222d9dc842f5fd064ef88e4dce41bbb6d259077183,2565989,acestep_muse_cn_suno_cn_000585_1.flac,48000,1440000,30.0,10be4c0b157ec53f2856906354e83743e6bc1bd75ef2cefb910da5edfa575b12,2393471,ai_acestep_muse_cn_suno_cn_000585_1.flac,44100,1323000,0,0
ai_acestep_muse_cn_suno_cn_000676_0,ACE-Step,development,muse:suno_cn_000676,muse_cn_suno_cn_000676_0,51625bbb1ab78dd6be10d97ccdc9e9f3553b4f5c8a6b2b5001ee623ac550afb9,2830525,acestep_muse_cn_suno_cn_000676_0.flac,48000,1440000,30.0,87f23650905b187b37e230e35551639361a700398721c16dbcb45667f6feb16d,2658063,ai_acestep_muse_cn_suno_cn_000676_0.flac,44100,1323000,0,0
ai_acestep_muse_cn_suno_cn_000679_1,ACE-Step,development,muse:suno_cn_000679,muse_cn_suno_cn_000679_1,617206053006e41e81cdca5d02c4514ece3de8181c509b157e1f25a0475d7331,2561601,acestep_muse_cn_suno_cn_000679_1.flac,48000,1440000,30.0,51bcb2184aff113c4d2390251fb4623589af04e10eab59755f1b250e42587b32,2389819,ai_acestep_muse_cn_suno_cn_000679_1.flac,44100,1323000,0,0
ai_acestep_muse_cn_suno_cn_000877_0,ACE-Step,locked,muse:suno_cn_000877,muse_cn_suno_cn_000877_0,a0708c7267921d467eef405e7225463c3ef8c9b0ee98712ea2cbf107bfa70245,2353645,acestep_muse_cn_suno_cn_000877_0.flac,48000,1440000,30.0,4fbb4b33125f13ebd4164fe78961c9d1ffb49fdeb900885cdc3c55345975b3f5,2187088,ai_acestep_muse_cn_suno_cn_000877_0.flac,44100,1323000,0,0
ai_acestep_muse_cn_suno_cn_000887_1,ACE-Step,development,muse:suno_cn_000887,muse_cn_suno_cn_000887_1,ead42ccc1deb6899c0d198e7e4f1bca16730a8c605cdfe73c874fe4e6b600759,2760746,acestep_muse_cn_suno_cn_000887_1.flac,48000,1440000,30.0,daf00033e93a62de2451ee299f09ce50a4fffd42548853c09c61690582b44115,2586450,ai_acestep_muse_cn_suno_cn_000887_1.flac,44100,1323000,0,0
ai_acestep_muse_cn_suno_cn_000896_0,ACE-Step,development,muse:suno_cn_000896,muse_cn_suno_cn_000896_0,924ebca4ab439ebb3eb35a103c5cd7f2bbf89f3a2bbf3ff1e8e7557dd039e683,2517317,acestep_muse_cn_suno_cn_000896_0.flac,48000,1440000,30.0,12aa611743eb2d2c440314b58aba055691c2465f738d534a6d05ba9dba751e41,2339216,ai_acestep_muse_cn_suno_cn_000896_0.flac,44100,1323000,0,0
ai_acestep_muse_cn_suno_cn_000942_1,ACE-Step,locked,muse:suno_cn_000942,muse_cn_suno_cn_000942_1,b66cfe2418b85db4d9046098bcc29c5a4638b4f4cc5f581dd06c7d6b04c6f7b2,2198630,acestep_muse_cn_suno_cn_000942_1.flac,48000,1440000,30.0,62e8fe529bd78d39658016cf494616c00ecf085609dad39b7c7d6f1b63e1fb64,2031397,ai_acestep_muse_cn_suno_cn_000942_1.flac,44100,1323000,0,0
