id,source_group,included_in_native30_classifier_cohort,original_sha256,original_bytes,archive_url,archive_member,recording_mbid,title
saraga_hindustani_001932a8-85a2-4f3f-9497-5e322c85abcd,human_saraga_hindustani_v1,True,f1ae52b322be9c743918f4e4068cdd898de6d20d564bd573e433e20fc365c8f2,10936521,https://zenodo.org/records/4301737/files/saraga1.5_hindustani.zip,saraga1.5_hindustani/Hindustani Alaps by Kaustuv Kanti Ganguli/Raag Miyan Malhar/Raag Miyan Malhar.mp3.mp3,001932a8-85a2-4f3f-9497-5e322c85abcd,Raag Miyan Malhar
saraga_hindustani_01c69de7-7aea-4e54-bc2b-bdd7758c650c,human_saraga_hindustani_v1,True,e47ae2557572e182f987566553957d7b94df28fd53732afff0f63cbe9d027c45,45298230,https://zenodo.org/records/4301737/files/saraga1.5_hindustani.zip,saraga1.5_hindustani/Raag Bhatiyar & Bhairavi Thumri by Kaustuv Kanti Ganguli/Raag Bhatiyar/Raag Bhatiyar.mp3.mp3,01c69de7-7aea-4e54-bc2b-bdd7758c650c,Raag Bhatiyar
saraga_hindustani_047abeeb-88f5-4395-8542-f7448668a281,human_saraga_hindustani_v1,True,d2617c2ec2a56f2579d07b94a119dafd3cc5ba83f50a4def6b21971a3833aa50,7564113,https://zenodo.org/records/4301737/files/saraga1.5_hindustani.zip,saraga1.5_hindustani/Hindustani Alaps by Kaustuv Kanti Ganguli/Raag Lalit/Raag Lalit.mp3.mp3,047abeeb-88f5-4395-8542-f7448668a281,Raag Lalit
saraga_hindustani_0a11bf6f-b55d-459c-9447-7a5a555a286f,human_saraga_hindustani_v1,True,290736173d44873d4bc1255a5bf664c27824c1a4aa5134477f430c22ecbd3e49,28773680,https://zenodo.org/records/4301737/files/saraga1.5_hindustani.zip,saraga1.5_hindustani/Raag Bhairav & Dhani by Kumar Gandharva/Raag Bhairav/Raag Bhairav.mp3.mp3,0a11bf6f-b55d-459c-9447-7a5a555a286f,Raag Bhairav
saraga_hindustani_0bdad2a8-94d8-40c2-91ec-e77100fcaa02,human_saraga_hindustani_v1,True,de20441638fcce51aa732896d63915fae0f11b235411cc5bf2fb396ddd3255ad,67971345,https://zenodo.org/records/4301737/files/saraga1.5_hindustani.zip,saraga1.5_hindustani/Raag Bhimpalasi & Multani by Omkar Dadarkar/Raag Multani/Raag Multani.mp3.mp3,0bdad2a8-94d8-40c2-91ec-e77100fcaa02,Raag Multani
saraga_hindustani_0bf5e46b-2434-496e-a1b2-cbf3273fdbdf,human_saraga_hindustani_v1,True,f264836e872ed5493310e81389f2e8aec18207495cdc6789ba0de8c7dd2e3205,23806404,https://zenodo.org/records/4301737/files/saraga1.5_hindustani.zip,saraga1.5_hindustani/Anaahata by Milind Malshe/Raag Lalita Gauri/Raag Lalita Gauri.mp3.mp3,0bf5e46b-2434-496e-a1b2-cbf3273fdbdf,Raag Lalita Gauri
saraga_hindustani_0f84aacf-9703-46ab-b5cd-2f8c6bd82b29,human_saraga_hindustani_v1,True,c4d6f9084fbcc001b80eb8a061cf607598f41fd22428d7ca4714f6265ee39c82,8921269,https://zenodo.org/records/4301737/files/saraga1.5_hindustani.zip,saraga1.5_hindustani/Anaahata by Milind Malshe/Raag Jogiya/Raag Jogiya.mp3.mp3,0f84aacf-9703-46ab-b5cd-2f8c6bd82b29,Raag Jogiya
saraga_hindustani_15906c20-4376-46a0-a0d5-7093216f4534,human_saraga_hindustani_v1,True,9d4bbce6ef9eea92b35a10d378e60ed3cd0f6885d43a9905f8e383d798168dd2,9217021,https://zenodo.org/records/4301737/files/saraga1.5_hindustani.zip,saraga1.5_hindustani/Anaahata by Milind Malshe/Raag Nat Kamod/Raag Nat Kamod.mp3.mp3,15906c20-4376-46a0-a0d5-7093216f4534,Raag Nat Kamod
saraga_hindustani_15b6df7e-2b76-484d-9089-1619cc850b59,human_saraga_hindustani_v1,True,6f6d6a6a5226135da008b307a0cb2b9c941ddefdbf2142c6667091d25f1c5be9,13109354,https://zenodo.org/records/4301737/files/saraga1.5_hindustani.zip,saraga1.5_hindustani/Hindustani Alaps by Kaustuv Kanti Ganguli/Raag Puriya Dhanashree/Raag Puriya Dhanashree.mp3.mp3,15b6df7e-2b76-484d-9089-1619cc850b59,Raag Puriya Dhanashree
saraga_hindustani_1a311323-791b-46fa-ab59-b749adcd18e1,human_saraga_hindustani_v1,True,9b4b3b621398b3eba90180f3f2ce493f92a838ccf593e62a64c6000840d86586,45752354,https://zenodo.org/records/4301737/files/saraga1.5_hindustani.zip,saraga1.5_hindustani/Raag Marwa & Hameer by Sameehan Kashalkar/Raag Marwa/Raag Marwa.mp3.mp3,1a311323-791b-46fa-ab59-b749adcd18e1,Raag Marwa
saraga_hindustani_1da7a284-99d3-46be-9537-13e2edf8d928,human_saraga_hindustani_v1,True,e2f7f3dba0b8b333c007e77865dab032cf2694d7f085027adead45161e2f34b6,27522020,https://zenodo.org/records/4301737/files/saraga1.5_hindustani.zip,"saraga1.5_hindustani/Raag Shree, Lalit Pancham & Bhairavi Thumri by Kaustuv Kanti Ganguli/Bhairavi Thumri/Bhairavi Thumri.mp3.mp3",1da7a284-99d3-46be-9537-13e2edf8d928,Bhairavi Thumri
