id,source_uuid,historical_model_name,recovered_model_name,recovered_major_version,original_sha256,source_relative_path,source_dataset,metadata_revision
ai_suno_unknown_02a1637c1859b1e1,1e03dfd4-38ec-4eba-af78-d80ee363fec1,unknown,chirp-fenix,v5.5,94e5de4810d757b6600d3fe41b6f58408ba415e2c05594c35461d7ff0f19dae0,audio/1e03dfd4-38ec-4eba-af78-d80ee363fec1.mp3,Kukedlc/suno-ai-music-dataset,bdff424e70c10ef62dca13ba43659ad9e7e1fcdb
ai_suno_unknown_03157c477b70d68c,7bbdaa05-879a-40ee-8bff-c3225b6cd9c6,unknown,chirp-fenix,v5.5,8f78fd1314f76ff28cd3c07a8b8370c22f1424b43202b2577db36b1dede182f3,audio/7bbdaa05-879a-40ee-8bff-c3225b6cd9c6.mp3,Kukedlc/suno-ai-music-dataset,bdff424e70c10ef62dca13ba43659ad9e7e1fcdb
ai_suno_unknown_045c19e769eebc0c,80b3e71c-2b80-4803-a403-84a02b5dad51,unknown,chirp-crow,v5,83ee921e0ad96d688cb8d8b72c9a674eddd93a6ee139dd418194bb5edf0ef5fb,audio/80b3e71c-2b80-4803-a403-84a02b5dad51.mp3,Kukedlc/suno-ai-music-dataset,bdff424e70c10ef62dca13ba43659ad9e7e1fcdb
ai_suno_unknown_0757aec80f01362c,d98cd569-0952-4e24-b2c3-a88da75fab36,unknown,chirp-crow,v5,307dc2130c01a8af8692ca59d78162569d09a16432b7b4e168f693150aeeb566,audio/d98cd569-0952-4e24-b2c3-a88da75fab36.mp3,Kukedlc/suno-ai-music-dataset,bdff424e70c10ef62dca13ba43659ad9e7e1fcdb
ai_suno_unknown_08c6b141f838252a,931275e4-23fa-4bef-b3f7-e24250986686,unknown,chirp-fenix,v5.5,9e212e4fbc25cdcf8cac4ee24f69b9dba49c405e55256d18550b0485951ce3e8,audio/931275e4-23fa-4bef-b3f7-e24250986686.mp3,Kukedlc/suno-ai-music-dataset,bdff424e70c10ef62dca13ba43659ad9e7e1fcdb
ai_suno_unknown_09f52756a4b93dfd,ad3f13f5-844e-4753-832f-925a98a5a967,unknown,chirp-crow,v5,4c2305559740767d0f05d5497afbf9550f5672b59228287c46575c5531a51d60,audio/ad3f13f5-844e-4753-832f-925a98a5a967.mp3,Kukedlc/suno-ai-music-dataset,bdff424e70c10ef62dca13ba43659ad9e7e1fcdb
ai_suno_unknown_0b316fac53b5a509,0f9bd8ea-2009-48ad-a055-152da836cef3,unknown,chirp-fenix,v5.5,e23ee8669cad92cdc5bd23a6515710ee15d0eece3d11bf37266049ee6d7ee69e,audio/0f9bd8ea-2009-48ad-a055-152da836cef3.mp3,Kukedlc/suno-ai-music-dataset,bdff424e70c10ef62dca13ba43659ad9e7e1fcdb
ai_suno_unknown_0cf7de1f26138903,b7780b4d-5c68-482e-a3f4-aeabd6678df1,unknown,chirp-crow,v5,91ad503868010d6b77052bc9ef4977a4c4487006e941b6cc43b0b9d824943c48,audio/b7780b4d-5c68-482e-a3f4-aeabd6678df1.mp3,Kukedlc/suno-ai-music-dataset,bdff424e70c10ef62dca13ba43659ad9e7e1fcdb
ai_suno_unknown_0d94b2e13987563e,c43aa251-4337-445d-81f9-6aa6edca6db4,unknown,chirp-fenix,v5.5,29b612273de5eaff62ecbb4601e27dad8434eeb6b868c6ffdd39add6fd328ec4,audio/c43aa251-4337-445d-81f9-6aa6edca6db4.mp3,Kukedlc/suno-ai-music-dataset,bdff424e70c10ef62dca13ba43659ad9e7e1fcdb
ai_suno_unknown_0da398a73a189592,5fdfb1fb-bc03-48a3-9ee9-59800f48fcb8,unknown,chirp-fenix,v5.5,e69f1b8cbfa9c8c8443c710da1c46c9b69e0b990d1851e76212dcc204556b30b,audio/5fdfb1fb-bc03-48a3-9ee9-59800f48fcb8.mp3,Kukedlc/suno-ai-music-dataset,bdff424e70c10ef62dca13ba43659ad9e7e1fcdb
ai_suno_unknown_0e64c8bbf1d7b54e,0039562a-c5f8-478c-87af-e7deac03529d,unknown,chirp-fenix,v5.5,ef004fde3f84c1c7dc04ba052a12d88776f86b048d68bcdaee59f4fc28de1a73,audio/0039562a-c5f8-478c-87af-e7deac03529d.mp3,Kukedlc/suno-ai-music-dataset,bdff424e70c10ef62dca13ba43659ad9e7e1fcdb
ai_suno_unknown_0ea51c933211d833,a11b6971-a069-464a-aeec-a6a08ef06c59,unknown,chirp-fenix,v5.5,4c6409effceebda7487778c131975b2f76006008acf4ab82ebdb6fb08cb187b3,audio/a11b6971-a069-464a-aeec-a6a08ef06c59.mp3,Kukedlc/suno-ai-music-dataset,bdff424e70c10ef62dca13ba43659ad9e7e1fcdb
ai_suno_unknown_107cd9076aac63e7,7fe6115a-c603-4be0-bb74-7dbe8d08f6ba,unknown,chirp-fenix,v5.5,2055f179d00c50ae06817df834b17be48c0b0fca149a4146e654a93ac59c9b0b,audio/7fe6115a-c603-4be0-bb74-7dbe8d08f6ba.mp3,Kukedlc/suno-ai-music-dataset,bdff424e70c10ef62dca13ba43659ad9e7e1fcdb
ai_suno_unknown_10be307c565f6662,7a4a024c-a8fd-414d-9b7f-1bd819cb6e03,unknown,chirp-crow,v5,e52be71a03d05f42eba2cc82da127d51c488d7f5b283f0240d996c5beaa516f3,audio/7a4a024c-a8fd-414d-9b7f-1bd819cb6e03.mp3,Kukedlc/suno-ai-music-dataset,bdff424e70c10ef62dca13ba43659ad9e7e1fcdb
ai_suno_unknown_1142cf77a96c5539,27933444-37bf-4c9a-8087-d852ff8aa917,unknown,chirp-crow,v5,9394f13916640ae029d97013e0e919a53d718c0908d78e4a6da5c9ca0483b910,audio/27933444-37bf-4c9a-8087-d852ff8aa917.mp3,Kukedlc/suno-ai-music-dataset,bdff424e70c10ef62dca13ba43659ad9e7e1fcdb
ai_suno_unknown_11fd4e798f2ad815,37e9d05b-2726-415d-ae02-b7faf57bf8c4,unknown,chirp-crow,v5,cb2ba0320627fcfff5f731e16872614297068ea55ee6601a8a48c3a98325c729,audio/37e9d05b-2726-415d-ae02-b7faf57bf8c4.mp3,Kukedlc/suno-ai-music-dataset,bdff424e70c10ef62dca13ba43659ad9e7e1fcdb
