id,prompt_id,label,source_group,role,group_id,native_frames,native_sample_rate_hz,source_sha256,source_receipt_sha256,eligible_native30,eligible_native60,native60_start_frame,native60_frames,native60_input_sha256
ai_yue2_muse_cn_suno_cn_000107_1,muse_cn_suno_cn_000107_1,1,YuE2,development,muse:suno_cn_000107,2768576,48000,ea913e1fe66552da34cf567553667248129a9fedfd007a529c999a9bb3ef3661,4d576b49025cb41423c4edc5922525cc64307d8104d22d8675bbeb34ea4004ce,1,0,,,
ai_yue2_muse_cn_suno_cn_000134_1,muse_cn_suno_cn_000134_1,1,YuE2,development,muse:suno_cn_000134,2200256,48000,6560263a951a15df8d5901e053f318a0c44d2ad8fd99d2ab5a35e51042f56ff2,751f10828664be9953482262f348b117deada525e6c0253cd3b01825a803dbd4,1,0,,,
ai_yue2_muse_cn_suno_cn_000244_1,muse_cn_suno_cn_000244_1,1,YuE2,locked_test,muse:suno_cn_000244,3333056,48000,cb7424ccf85af18efb47d21f28e61a9b5cfa056a251bcaa2654c378423b3632c,24e590f6f409794b9202c615fc1c35988000cb64371bc4523f811213397f2582,1,1,226528,2880000,43e0236bf76a98fd41f2f9643047c53f5dfa648b60949881b422bf74c784d758
ai_yue2_muse_cn_suno_cn_000268_1,muse_cn_suno_cn_000268_1,1,YuE2,development,muse:suno_cn_000268,4072256,48000,2dafe45c0123aa6e811c83ff63462791b063939d93d8806b161048d093592d1d,3aa5ab6bc3757e211344c974a215db2365a0f519355dcca3952a7480e6ff691c,1,1,596128,2880000,6f7fb78fe78282caed23072f5073ea78cbf1a722666f1592fe562c9b496c1e72
ai_yue2_muse_cn_suno_cn_000394_1,muse_cn_suno_cn_000394_1,1,YuE2,development,muse:suno_cn_000394,3116096,48000,0354a54ff04f3c1c340e959b1a8066c7b07ce91230efcfd347c57e48f932beda,da44caa323397ac9d8063fecc4ee822f11d660c4724be3a861848eb53b8592af,1,1,118048,2880000,5279ace1f33db7b26113bfdfe65dd2838426e561c0de1ef3b8f95cd918855bdc
ai_yue2_muse_cn_suno_cn_000484_0,muse_cn_suno_cn_000484_0,1,YuE2,development,muse:suno_cn_000484,3171776,48000,f825a4a5357e4e941c1264a118de4803240d90e4af852f5828c997b4c3c929c3,f43e71dc8171e5267c35f04d2cd40a89bce089664dec5bf70502d16f41360447,1,1,145888,2880000,640c8af93729ab4c8543a01f1a72716a263fe92a769f32b5f803d9c03f5be310
ai_yue2_muse_cn_suno_cn_000585_1,muse_cn_suno_cn_000585_1,1,YuE2,development,muse:suno_cn_000585,2042816,48000,b6c3ad68997a85eef7ba2e71f616269947a35b076ed12f44df418afab5fd930e,44cb0e555f26baaa06bce8a4a457b3760c31c7476e423212dac229735f455eb2,1,0,,,
ai_yue2_muse_cn_suno_cn_000676_0,muse_cn_suno_cn_000676_0,1,YuE2,development,muse:suno_cn_000676,1560896,48000,855cb0fe12d949ba13da1ed21ed9317c42b12f01223572fc11ef5a5dd1f62ac1,51b947bb40d886f151163f094afe9d95b470cb3fbceb858ceaf19031e243e4a3,1,0,,,
ai_yue2_muse_cn_suno_cn_000679_1,muse_cn_suno_cn_000679_1,1,YuE2,development,muse:suno_cn_000679,4212416,48000,a5bfcf82ded1c6cb69fc28b121f58f75fe3132915e16754e7af8f3dbb3be6ac6,2709c24f9c70d6f0eeb401ed70a01d28a0b00214ba937251c69a3d001b735f3e,1,1,666208,2880000,448a1533e8b43ba5cc72997a4202bc8f10693b977470f4969f1b3fe389c71c90
ai_yue2_muse_cn_suno_cn_000877_0,muse_cn_suno_cn_000877_0,1,YuE2,locked_test,muse:suno_cn_000877,3285056,48000,2542bf3e0819ba9e71c7dd2300225dc7cd4efd6bf261c1e0a30cb3bcd13d0e69,bfa8dae706b739ec0666599c776998fd6b39e2fe692cea543bc478b6fc6257e7,1,1,202528,2880000,0e504eb8f9d72dfd7c6080a1e5f91cd85ee73d594bf5c82288589f343d6207dd
ai_yue2_muse_cn_suno_cn_000887_1,muse_cn_suno_cn_000887_1,1,YuE2,development,muse:suno_cn_000887,2737856,48000,b49a89c326aff167d828fe848a74d5237f1e2259ff8daf24c61f9bf2d4048af1,4e25a67ea63449faecb0fc37a9be1c0bc765d7846c9f98e0722c6c2f28ad7b80,1,0,,,
ai_yue2_muse_cn_suno_cn_000896_0,muse_cn_suno_cn_000896_0,1,YuE2,development,muse:suno_cn_000896,2649536,48000,5019758b045926622363d789ef791137f9740c5c1e3b80554c597d954c467337,e351a52ddbfb92904f015c182f5aa3958dfc4bd28598b30fb10eb0a17dffdf2f,1,0,,,
ai_yue2_muse_cn_suno_cn_000942_1,muse_cn_suno_cn_000942_1,1,YuE2,locked_test,muse:suno_cn_000942,2636096,48000,9204dfb56ee6b07411daf3d2271013cdfd919f5c8659ea705c20039a40bc478f,3d3fdc5d86ea69ce3e2ca010f13f7b7e60abf24c5f4f51297761b2c9946c285f,1,0,,,
ai_yue2_muse_cn_suno_cn_000955_0,muse_cn_suno_cn_000955_0,1,YuE2,development,muse:suno_cn_000955,2770496,48000,a2e22e9a33d951a528b5e0822c20fc2f65bbf365c78568795f8059c6140a21f3,4fea224578965be00fdd615dd7ddd3c0b94579649686366e2fb94bc9433cb63d,1,0,,,
ai_yue2_muse_cn_suno_cn_001079_1,muse_cn_suno_cn_001079_1,1,YuE2,locked_test,muse:suno_cn_001079,2288576,48000,b9e5a5ccb43252f3307d649dec3f0ea336671a3324b70551e363005f22246daa,0f4fc25024b907d673194670121d92a81097d3fa6f67fe2ea64dd7fdb93f4cb1,1,0,,,
ai_yue2_muse_cn_suno_cn_001149_0,muse_cn_suno_cn_001149_0,1,YuE2,development,muse:suno_cn_001149,2154176,48000,0a81bb65853e86462bdfa8435d69e4f190e95166c90c2034fe6146e536e20acd,842f482c7507a19d786a7ebccb33b0f6d1cac2bcd694b647a4dcf75cc3882705,1,0,,,
ai_yue2_muse_cn_suno_cn_001191_0,muse_cn_suno_cn_001191_0,1,YuE2,development,muse:suno_cn_001191,3838016,48000,f0cc99cdb9cd7ec5610c5aca2240d992ed90ad7a721ee2f58ab2c578967891e8,bf067ea721e8bca1c933387a59bc6393405327bb31d09a1e9eea30e9a4a5e37a,1,1,479008,2880000,421f5a6c8d675144015398c356a93bfddfd8d115749365cf97843b03feafea2a
ai_yue2_muse_cn_suno_cn_001199_1,muse_cn_suno_cn_001199_1,1,YuE2,locked_test,muse:suno_cn_001199,2158016,48000,72e3ecc43d1d9f5dab7849052d8a4db9fb54653f325c9e613f9a6ddecb4deab1,2bb441e31d233d90a5f7eb72df58874cca57ca3e40df5aeb1d31368563eb60b9,1,0,,,
