fold_type,combination,quantity,feature_mode,macro_equal_group_equal_source_BA,macro_ai_recall,macro_human_recall,macro_recording_weighted_within_experiment_BA,descriptive_mean_single_model_fold_auc,available_held_source_experiments,intended_held_source_experiments,eligible_model_count,omitted_model_count,status
human_source_holdout,S,25,values_plus_missing,0.5972042934813084,0.6659369254803206,0.5284716614822963,0.5892399465189342,0.642787775308325,6,6,28,2,available
human_source_holdout,S,50,values_plus_missing,0.6062010984184928,0.6598222426049755,0.55257995423201,0.5990160050960561,0.6551967982810379,6,6,28,2,available
human_source_holdout,S,100,values_plus_missing,0.606279268551782,0.6674035971575333,0.545154939946031,0.5986910954434836,0.657415435867966,6,6,28,2,available
human_source_holdout,S,200,values_plus_missing,0.6108687446245062,0.6751364665963946,0.5466010226526178,0.6016492702072401,0.6596253522379498,6,6,28,2,available
human_source_holdout,S,all,values_plus_missing,0.6094955464032571,0.6747095898203752,0.5442815029861391,0.5985277428093541,0.6597889543937716,6,6,28,2,available
human_source_holdout,D,25,values_plus_missing,0.6220010479703941,0.5208042859839221,0.7231978099568662,0.6129604102840704,0.6686907529072663,6,6,28,2,available
human_source_holdout,D,50,values_plus_missing,0.6213507876179761,0.535971567291967,0.706730007943985,0.6128622313101685,0.6675516930808743,6,6,28,2,available
human_source_holdout,D,100,values_plus_missing,0.6220971851306292,0.5265447868382335,0.7176495834230251,0.6128520200672215,0.6672934877567656,6,6,28,2,available
human_source_holdout,D,200,values_plus_missing,0.6239753037621243,0.5418543139960602,0.7060962935281884,0.612260344954411,0.666954638100446,6,6,28,2,available
human_source_holdout,D,all,values_plus_missing,0.6239558285831052,0.536944717943847,0.7109669392223634,0.6138191805169616,0.6669676519447194,6,6,28,2,available
human_source_holdout,R,25,values_plus_missing,0.6112002817152042,0.7563311561579319,0.46606940727247664,0.6127709219976507,0.6515375916554447,6,6,28,2,available
human_source_holdout,R,50,values_plus_missing,0.6120938090436905,0.7549362727782092,0.46925134530917184,0.6166329957934577,0.6465527353724808,6,6,28,2,available
human_source_holdout,R,100,values_plus_missing,0.6122434644803937,0.7500245866351065,0.47446234232568085,0.614447346264463,0.6512227573679149,6,6,28,2,available
human_source_holdout,R,200,values_plus_missing,0.6154919872797295,0.73554809328901,0.49543588127044896,0.6175089757034258,0.650874951659611,6,6,28,2,available
human_source_holdout,R,all,values_plus_missing,0.6144339963411912,0.7295113174533244,0.49935667522905813,0.6158857999362632,0.6505072546546881,6,6,28,2,available
human_source_holdout,P,25,values_plus_missing,0.543766423490886,0.18724037053878287,0.9002924764429893,0.5468362161208133,0.5467684341651459,6,6,28,2,available
human_source_holdout,P,50,values_plus_missing,0.5463738859171359,0.19102041963017116,0.9017273522041004,0.5499438580603911,0.5515177555697343,6,6,28,2,available
human_source_holdout,P,100,values_plus_missing,0.545720609699681,0.1943925613635462,0.8970486580358156,0.5491172948435409,0.5503259326877576,6,6,28,2,available
human_source_holdout,P,200,values_plus_missing,0.5454888996851297,0.19891322084195293,0.8920645785283065,0.5490989414037056,0.5535304720162932,6,6,28,2,available
human_source_holdout,P,all,values_plus_missing,0.5447712772611667,0.20068012960644988,0.8888624249158835,0.5485192840479772,0.5517577930832942,6,6,28,2,available
human_source_holdout,F,25,values_plus_missing,0.6133007131992642,0.6093242175663653,0.617277208832163,0.6002215794642632,0.6383499938580518,6,6,28,2,available
