fold_type,combination,quantity,feature_mode,macro_equal_group_equal_source_BA,macro_ai_recall,macro_human_recall,macro_recording_weighted_within_experiment_BA,descriptive_mean_single_model_fold_auc,available_held_source_experiments,intended_held_source_experiments,eligible_model_count,omitted_model_count,status
human_source_holdout,S,25,values_plus_missing,0.628773905279825,0.7005901032755766,0.5569577072840733,0.6204337713874783,0.6835843285000017,6,6,28,2,available
human_source_holdout,S,50,values_plus_missing,0.6448521978557803,0.6925066792363078,0.5971977164752529,0.6380884172902932,0.6962635904892426,6,6,28,2,available
human_source_holdout,S,100,values_plus_missing,0.6359257785669098,0.6965262783776787,0.5753252787561409,0.6274952129383855,0.6977799858618408,6,6,28,2,available
human_source_holdout,S,200,values_plus_missing,0.6412546125521418,0.7002820940528279,0.5822271310514556,0.6320774990117041,0.6996416457048652,6,6,28,2,available
human_source_holdout,S,all,values_plus_missing,0.6434093262922745,0.7007512061225599,0.586067446461989,0.6328210629852709,0.7003983132040281,6,6,28,2,available
human_source_holdout,D,25,values_plus_missing,0.6374826339987761,0.5339297225843421,0.7410355454132099,0.6219647755697505,0.6712207919772412,6,6,28,2,available
human_source_holdout,D,50,values_plus_missing,0.6289570419009821,0.5542369666941631,0.7036771171078012,0.6174804701751929,0.6696904186182715,6,6,28,2,available
human_source_holdout,D,100,values_plus_missing,0.6341396023267715,0.541517518414598,0.726761686238945,0.6195265538585523,0.6699478210668629,6,6,28,2,available
human_source_holdout,D,200,values_plus_missing,0.6355229266695452,0.5480919326371875,0.722953920701903,0.6203997742992952,0.669409642778875,6,6,28,2,available
human_source_holdout,D,all,values_plus_missing,0.6341871434253111,0.544015466582055,0.7243588202685672,0.619462617092308,0.6694653198421243,6,6,28,2,available
human_source_holdout,R,25,values_plus_missing,0.6182706579008407,0.775006418262404,0.46153489753927723,0.6193474275334392,0.6645250469579919,6,6,28,2,available
human_source_holdout,R,50,values_plus_missing,0.6185854198030026,0.7669116696980675,0.4702591699079379,0.6230619294478213,0.663404819118461,6,6,28,2,available
human_source_holdout,R,100,values_plus_missing,0.6210496291495541,0.7580966884670981,0.48400256983201007,0.6236715447873299,0.6677089937979058,6,6,28,2,available
human_source_holdout,R,200,values_plus_missing,0.627668816783573,0.7441358540787978,0.5112017794883483,0.6287121218390077,0.6684036039571559,6,6,28,2,available
human_source_holdout,R,all,values_plus_missing,0.6252786553790436,0.740323961579716,0.5102333491783713,0.6254331201071305,0.6685948820695039,6,6,28,2,available
human_source_holdout,P,25,values_plus_missing,0.5442988044262944,0.18977594220244334,0.8988216666501455,0.5473120437343622,0.5497382494255784,6,6,28,2,available
human_source_holdout,P,50,values_plus_missing,0.5444659448400356,0.19245969902197402,0.8964721906580971,0.5470589177911668,0.5490139834558488,6,6,28,2,available
human_source_holdout,P,100,values_plus_missing,0.5432898757685993,0.1958208662263502,0.8907588853108485,0.547863859229938,0.5511569421997146,6,6,28,2,available
human_source_holdout,P,200,values_plus_missing,0.5437654017840566,0.1980737869694026,0.8894570165987106,0.5479448655703462,0.549723176321563,6,6,28,2,available
human_source_holdout,P,all,values_plus_missing,0.5441585276424109,0.1983258506519232,0.8899912046328987,0.5480892236936643,0.5485265290117589,6,6,28,2,available
human_source_holdout,F,25,values_plus_missing,0.6408953904561323,0.6413692991311711,0.6404214817810934,0.6230560154838649,0.6682652368956905,6,6,28,2,available
human_source_holdout,F,50,values_plus_missing,0.6292200276893452,0.6390119430444631,0.6194281123342272,0.6151943376720036,0.6517756171302269,6,6,28,2,available
human_source_holdout,F,100,values_plus_missing,0.6256953603321106,0.6448245011338584,0.6065662195303628,0.6105214614653157,0.6541381821739473,6,6,28,2,available
human_source_holdout,F,200,values_plus_missing,0.6188161621002775,0.6464582413096583,0.5911740828908968,0.604248728632087,0.6527786883641005,6,6,28,2,available
human_source_holdout,F,all,values_plus_missing,0.6210523233661562,0.6491529387750853,0.5929517079572271,0.6039840731831512,0.6567160918785852,6,6,28,2,available
human_source_holdout,H,25,values_plus_missing,0.5990394134084304,0.6267316603175673,0.5713471664992934,0.5979858094595621,0.6365222481662798,6,6,28,2,available
human_source_holdout,H,50,values_plus_missing,0.5991576379456646,0.6332320164052424,0.5650832594860867,0.5981505442136046,0.6325370618680602,6,6,28,2,available
human_source_holdout,H,100,values_plus_missing,0.6004673355373094,0.6325590830969441,0.5683755879776745,0.5981045924194165,0.6355321935579615,6,6,28,2,available
human_source_holdout,H,200,values_plus_missing,0.6010945841803992,0.6158921259691112,0.586297042391687,0.5950610279907317,0.6345524242557641,6,6,28,2,available
human_source_holdout,H,all,values_plus_missing,0.5950679468363645,0.6094935897584198,0.5806423039143093,0.5895290967879167,0.632905956584157,6,6,28,2,available
human_source_holdout,SC,25,values_plus_missing,0.6107279270788672,0.7084931831706132,0.5129626709871214,0.6082163973224765,0.6224579583789508,6,6,28,2,available
human_source_holdout,SC,50,values_plus_missing,0.6252455675629555,0.7005862369522595,0.5499048981736515,0.6188192851988474,0.6346602271034134,6,6,28,2,available
human_source_holdout,SC,100,values_plus_missing,0.6314150188166788,0.6945629910498438,0.5682670465835138,0.6248158776105599,0.6440435753310281,6,6,28,2,available
human_source_holdout,SC,200,values_plus_missing,0.623747431815097,0.693904355058142,0.553590508572052,0.6187722797423414,0.6391603126288183,6,6,28,2,available
human_source_holdout,SC,all,values_plus_missing,0.626306014522533,0.7024782121088823,0.5501338169361837,0.6222170314934908,0.6385790166932511,6,6,28,2,available
human_source_holdout,BC,25,values_plus_missing,0.45917482209482463,0.4823711538800095,0.4359784903096397,0.4743086661026408,0.4727112016693328,6,6,28,2,available
human_source_holdout,BC,50,values_plus_missing,0.476039651065614,0.41337272304877665,0.5387065790824515,0.4882482333458604,0.4815520546810078,6,6,28,2,available
human_source_holdout,BC,100,values_plus_missing,0.45745516858698004,0.5340706012940947,0.38083973587986547,0.4666113124848441,0.46555805927302163,6,6,28,2,available
human_source_holdout,BC,200,values_plus_missing,0.4578984863164168,0.5694544964854863,0.34634247614734726,0.46797093061485423,0.4713899282292358,6,6,28,2,available
human_source_holdout,BC,all,values_plus_missing,0.4558636179409959,0.5597721346469448,0.3519551012350471,0.4684529700956586,0.471330122378253,6,6,28,2,available
human_source_holdout,S+D,25,values_plus_missing,0.6276260788664765,0.7014166498235833,0.5538355079093696,0.6258162140181496,0.6996996229327574,6,6,28,2,available
human_source_holdout,S+D,50,values_plus_missing,0.6493045228102893,0.6991806642587713,0.5994283813618072,0.6434135364732384,0.7109530234984673,6,6,28,2,available
human_source_holdout,S+D,100,values_plus_missing,0.6473551432977424,0.7000531186378492,0.5946571679576356,0.6393780918848916,0.7115660946869661,6,6,28,2,available
human_source_holdout,S+D,200,values_plus_missing,0.6491696572729544,0.6992215623159338,0.5991177522299751,0.6404583275676877,0.7131238234770587,6,6,28,2,available
human_source_holdout,S+D,all,values_plus_missing,0.6498136004901536,0.7002951048369188,0.5993320961433884,0.6410765333988154,0.7135471852083787,6,6,28,2,available
human_source_holdout,S+R,25,values_plus_missing,0.6554504438990377,0.7384852590155594,0.5724156287825162,0.6477000723113514,0.7266791673111638,6,6,28,2,available
