combination,quantity,population,recordings_per_model,models,mean_sensitivity,min_sensitivity,max_sensitivity,M_secondary_diagnostic
D,100,all_eligible,276,5,0.35797101449275365,0.3188405797101449,0.40217391304347827,False
D,100,development,223,5,0.35336322869955156,0.3183856502242152,0.39461883408071746,False
D,100,locked_test,53,5,0.37735849056603776,0.32075471698113206,0.4339622641509434,False
D,200,all_eligible,276,5,0.41304347826086957,0.3804347826086957,0.45652173913043476,False
D,200,development,223,5,0.4053811659192825,0.37668161434977576,0.4439461883408072,False
D,200,locked_test,53,5,0.44528301886792454,0.39622641509433965,0.5094339622641509,False
D,25,all_eligible,276,5,0.4782608695652174,0.4420289855072464,0.5144927536231884,False
D,25,development,223,5,0.4744394618834081,0.4349775784753363,0.515695067264574,False
D,25,locked_test,53,5,0.49433962264150944,0.4716981132075472,0.5094339622641509,False
D,50,all_eligible,276,5,0.32028985507246377,0.27898550724637683,0.35507246376811596,False
D,50,development,223,5,0.3165919282511211,0.273542600896861,0.34977578475336324,False
D,50,locked_test,53,5,0.33584905660377357,0.3018867924528302,0.37735849056603776,False
D,all,all_eligible,276,5,0.40797101449275364,0.40217391304347827,0.42028985507246375,False
D,all,development,223,5,0.4008968609865471,0.39461883408071746,0.4125560538116592,False
D,all,locked_test,53,5,0.4377358490566038,0.4339622641509434,0.4528301886792453,False
D+F,100,all_eligible,276,5,0.49927536231884057,0.39855072463768115,0.644927536231884,False
D+F,100,development,223,5,0.5031390134529148,0.4080717488789238,0.6457399103139013,False
D+F,100,locked_test,53,5,0.4830188679245283,0.3584905660377358,0.6415094339622641,False
D+F,200,all_eligible,276,5,0.6159420289855072,0.572463768115942,0.6920289855072463,False
D+F,200,development,223,5,0.6224215246636772,0.5739910313901345,0.6995515695067265,False
D+F,200,locked_test,53,5,0.5886792452830188,0.5471698113207547,0.660377358490566,False
D+F,25,all_eligible,276,5,0.7355072463768116,0.6304347826086957,0.7789855072463768,False
D+F,25,development,223,5,0.736322869955157,0.6233183856502242,0.7847533632286996,False
D+F,25,locked_test,53,5,0.7320754716981133,0.660377358490566,0.7547169811320755,False
D+F,50,all_eligible,276,5,0.41884057971014493,0.2971014492753623,0.5869565217391305,False
D+F,50,development,223,5,0.4242152466367713,0.29596412556053814,0.5829596412556054,False
D+F,50,locked_test,53,5,0.3962264150943396,0.2641509433962264,0.6037735849056604,False
D+F,all,all_eligible,276,5,0.5949275362318841,0.5434782608695652,0.6485507246376812,False
D+F,all,development,223,5,0.6044843049327354,0.5605381165919282,0.6547085201793722,False
D+F,all,locked_test,53,5,0.5547169811320755,0.4716981132075472,0.6226415094339622,False
D+F+H,100,all_eligible,276,5,0.6579710144927536,0.5833333333333334,0.7463768115942029,False
D+F+H,100,development,223,5,0.6744394618834081,0.5964125560538116,0.7713004484304933,False
D+F+H,100,locked_test,53,5,0.5886792452830188,0.5283018867924528,0.6415094339622641,False
D+F+H,200,all_eligible,276,5,0.7355072463768116,0.7101449275362319,0.7898550724637681,False
D+F+H,200,development,223,5,0.7551569506726458,0.726457399103139,0.8071748878923767,False
D+F+H,200,locked_test,53,5,0.6528301886792452,0.6226415094339622,0.7169811320754716,False
D+F+H,25,all_eligible,276,5,0.672463768115942,0.5,0.7608695652173914,False
D+F+H,25,development,223,5,0.6753363228699552,0.5201793721973094,0.7713004484304933,False
D+F+H,25,locked_test,53,5,0.660377358490566,0.41509433962264153,0.7924528301886793,False
D+F+H,50,all_eligible,276,5,0.5739130434782609,0.4746376811594203,0.7028985507246377,False
D+F+H,50,development,223,5,0.5856502242152466,0.48878923766816146,0.7130044843049327,False
D+F+H,50,locked_test,53,5,0.5245283018867924,0.41509433962264153,0.660377358490566,False
D+F+H,all,all_eligible,276,5,0.6789855072463767,0.6413043478260869,0.6992753623188406,False
D+F+H,all,development,223,5,0.6932735426008968,0.6547085201793722,0.7130044843049327,False
D+F+H,all,locked_test,53,5,0.6188679245283019,0.5849056603773585,0.6415094339622641,False
D+F+H+M,100,all_eligible,276,5,0.6202898550724638,0.572463768115942,0.6847826086956522,True
D+F+H+M,100,development,223,5,0.6367713004484304,0.5919282511210763,0.6860986547085202,True
D+F+H+M,100,locked_test,53,5,0.5509433962264151,0.4716981132075472,0.6792452830188679,True
D+F+H+M,200,all_eligible,276,5,0.6949275362318841,0.6666666666666666,0.7391304347826086,True
D+F+H+M,200,development,223,5,0.7139013452914799,0.6860986547085202,0.7488789237668162,True
D+F+H+M,200,locked_test,53,5,0.6150943396226415,0.5660377358490566,0.6981132075471698,True
D+F+H+M,25,all_eligible,276,5,0.5905797101449275,0.4166666666666667,0.6739130434782609,True
D+F+H+M,25,development,223,5,0.589237668161435,0.4349775784753363,0.672645739910314,True
D+F+H+M,25,locked_test,53,5,0.5962264150943396,0.33962264150943394,0.6792452830188679,True
D+F+H+M,50,all_eligible,276,5,0.5253623188405797,0.44565217391304346,0.6376811594202898,True
D+F+H+M,50,development,223,5,0.5345291479820627,0.4663677130044843,0.6457399103139013,True
D+F+H+M,50,locked_test,53,5,0.4867924528301887,0.33962264150943394,0.6226415094339622,True
D+F+H+M,all,all_eligible,276,5,0.6543478260869565,0.6014492753623188,0.6739130434782609,True
D+F+H+M,all,development,223,5,0.6699551569506726,0.6143497757847534,0.695067264573991,True
D+F+H+M,all,locked_test,53,5,0.5886792452830188,0.5471698113207547,0.6226415094339622,True
D+F+M,100,all_eligible,276,5,0.5833333333333334,0.5289855072463768,0.6521739130434783,True
D+F+M,100,development,223,5,0.6,0.5560538116591929,0.6591928251121076,True
D+F+M,100,locked_test,53,5,0.5132075471698113,0.41509433962264153,0.6226415094339622,True
D+F+M,200,all_eligible,276,5,0.6869565217391305,0.6594202898550725,0.7391304347826086,True
D+F+M,200,development,223,5,0.7031390134529147,0.672645739910314,0.7533632286995515,True
D+F+M,200,locked_test,53,5,0.6188679245283019,0.5849056603773585,0.6792452830188679,True
D+F+M,25,all_eligible,276,5,0.6847826086956522,0.5579710144927537,0.7355072463768116,True
D+F+M,25,development,223,5,0.6825112107623318,0.5695067264573991,0.726457399103139,True
D+F+M,25,locked_test,53,5,0.6943396226415094,0.5094339622641509,0.7735849056603774,True
D+F+M,50,all_eligible,276,5,0.5094202898550725,0.42391304347826086,0.6159420289855072,True
D+F+M,50,development,223,5,0.5174887892376682,0.4439461883408072,0.6098654708520179,True
D+F+M,50,locked_test,53,5,0.47547169811320755,0.33962264150943394,0.6415094339622641,True
D+F+M,all,all_eligible,276,5,0.6384057971014493,0.6231884057971014,0.6557971014492754,True
D+F+M,all,development,223,5,0.6475336322869956,0.6322869955156951,0.6636771300448431,True
D+F+M,all,locked_test,53,5,0.6,0.5849056603773585,0.6226415094339622,True
D+H,100,all_eligible,276,5,0.2463768115942029,0.2318840579710145,0.2644927536231884,False
D+H,100,development,223,5,0.24753363228699551,0.23318385650224216,0.2645739910313901,False
D+H,100,locked_test,53,5,0.24150943396226415,0.20754716981132076,0.2830188679245283,False
D+H,200,all_eligible,276,5,0.25724637681159424,0.21739130434782608,0.2826086956521739,False
D+H,200,development,223,5,0.2609865470852018,0.22869955156950672,0.28699551569506726,False
D+H,200,locked_test,53,5,0.24150943396226415,0.16981132075471697,0.2830188679245283,False
D+H,25,all_eligible,276,5,0.2681159420289855,0.14130434782608695,0.3333333333333333,False
D+H,25,development,223,5,0.26905829596412556,0.14349775784753363,0.3452914798206278,False
D+H,25,locked_test,53,5,0.2641509433962264,0.1320754716981132,0.32075471698113206,False
D+H,50,all_eligible,276,5,0.20942028985507247,0.14855072463768115,0.3188405797101449,False
D+H,50,development,223,5,0.21614349775784752,0.15695067264573992,0.32286995515695066,False
D+H,50,locked_test,53,5,0.1811320754716981,0.11320754716981132,0.3018867924528302,False
D+H,all,all_eligible,276,5,0.2311594202898551,0.20652173913043478,0.2644927536231884,False
D+H,all,development,223,5,0.24125560538116592,0.21524663677130046,0.26905829596412556,False
D+H,all,locked_test,53,5,0.18867924528301885,0.1509433962264151,0.24528301886792453,False
D+H+M,100,all_eligible,276,5,0.25507246376811593,0.2391304347826087,0.2826086956521739,True
D+H+M,100,development,223,5,0.2654708520179372,0.24663677130044842,0.3004484304932735,True
D+H+M,100,locked_test,53,5,0.21132075471698114,0.18867924528301888,0.22641509433962265,True
D+H+M,200,all_eligible,276,5,0.2565217391304348,0.2246376811594203,0.2753623188405797,True
D+H+M,200,development,223,5,0.27085201793721975,0.23766816143497757,0.28699551569506726,True
D+H+M,200,locked_test,53,5,0.19622641509433963,0.16981132075471697,0.22641509433962265,True
D+H+M,25,all_eligible,276,5,0.25507246376811593,0.17028985507246377,0.30434782608695654,True
D+H+M,25,development,223,5,0.25829596412556055,0.17488789237668162,0.3094170403587444,True
